gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
891133763	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/221472	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Madhya Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.279322	80.794905	30298.0						2010-03-19	19	3	2010	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	221472		Ravi Vaidyanathan	2013-03-23T14:45:26	CC_BY_NC_4_0	Ravi Vaidyanathan	Ravi Vaidyanathan			2025-02-16T12:07:26.542Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891090763	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/105984	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.141612	76.579006	29891.0						2012-03-30T07:06	30	3	2012	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	105984		Allan Hopkins	2012-07-26T14:40:48	CC_BY_4_0	Allan Hopkins	Allan Hopkins			2025-02-16T12:07:14.376Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891090761	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/106000	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.070456	76.435718	29891.0						2012-03-30T02:54	30	3	2012	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	106000		Allan Hopkins	2012-07-26T14:40:52	CC_BY_4_0	Allan Hopkins	Allan Hopkins			2025-02-16T15:59:27.656Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891090756	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/106005	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.086677	76.453471	29891.0						2012-03-30T11:38	30	3	2012	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	106005		Allan Hopkins	2012-07-26T14:40:54	CC_BY_4_0	Allan Hopkins	Allan Hopkins			2025-02-16T12:07:13.461Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891090750	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/105972	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Madhya Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.272353	80.557574	30298.0						2012-03-22T11:34	22	3	2012	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	105972		Allan Hopkins	2012-07-26T14:40:43	CC_BY_4_0	Allan Hopkins	Allan Hopkins			2025-02-16T12:07:20.618Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891090744	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/105953	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.156464	76.437501	29891.0						2012-03-31T07:14	31	3	2012	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	105953		Allan Hopkins	2012-07-26T14:40:36	CC_BY_4_0	Allan Hopkins	Allan Hopkins			2025-02-16T16:00:13.960Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891090735	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/105985	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Madhya Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.247561	80.529767	30298.0						2012-03-25T08:59	25	3	2012	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	105985		Allan Hopkins	2012-07-26T14:40:48	CC_BY_4_0	Allan Hopkins	Allan Hopkins			2025-02-16T12:07:05.392Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891090732	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/105973	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Madhya Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.372436	80.428882	30298.0						2012-03-23T11:49	23	3	2012	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	105973		Allan Hopkins	2012-07-26T14:40:44	CC_BY_4_0	Allan Hopkins	Allan Hopkins			2025-02-16T12:07:20.297Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891090722	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/105962	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Madhya Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.286437	80.548531	30298.0						2012-03-22T04:17	22	3	2012	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	105962		Allan Hopkins	2012-07-26T14:40:40	CC_BY_4_0	Allan Hopkins	Allan Hopkins			2025-02-16T12:07:24.261Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891090702	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/105977	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Madhya Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.377871	80.506919	30298.0						2012-03-18T16:37	18	3	2012	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	105977		Allan Hopkins	2012-07-26T14:40:45	CC_BY_4_0	Allan Hopkins	Allan Hopkins			2025-02-16T12:07:13.652Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
